utc_timestamp,cet_cest_timestamp,,,DE_load_actual_entsoe_transparency,DE_load_forecast_entsoe_transparency,DE_solar_capacity,DE_solar_generation_actual,DE_solar_profile,DE_wind_capacity,DE_wind_generation_actual,DE_wind_profile,DE_wind_offshore_capacity,DE_wind_offshore_generation_actual,DE_wind_offshore_profile,DE_wind_onshore_capacity,DE_wind_onshore_generation_actual,DE_wind_onshore_profile,DE_50hertz_load_actual_entsoe_transparency,DE_50hertz_load_forecast_entsoe_transparency,DE_50hertz_solar_generation_actual,DE_50hertz_wind_generation_actual,DE_50hertz_wind_offshore_generation_actual,DE_50hertz_wind_onshore_generation_actual,DE_LU_load_actual_entsoe_transparency,DE_LU_load_forecast_entsoe_transparency,DE_LU_price_day_ahead,DE_LU_solar_generation_actual,DE_LU_wind_generation_actual,DE_LU_wind_offshore_generation_actual,DE_LU_wind_onshore_generation_actual,DE_amprion_load_actual_entsoe_transparency,DE_amprion_load_forecast_entsoe_transparency,DE_amprion_solar_generation_actual,DE_amprion_wind_onshore_generation_actual,DE_tennet_load_actual_entsoe_transparency,DE_tennet_load_forecast_entsoe_transparency,DE_tennet_solar_generation_actual,DE_tennet_wind_generation_actual,DE_tennet_wind_offshore_generation_actual,DE_tennet_wind_onshore_generation_actual,DE_transnetbw_load_actual_entsoe_transparency,DE_transnetbw_load_forecast_entsoe_transparency,DE_transnetbw_solar_generation_actual,DE_transnetbw_wind_onshore_generation_actual
1/1/2019,2019-01-01T01:00:00+0100,,,41562,41275,47480,0,0,48974,24905,0.5085,5051,2868,0.5678,43923,22036,0.5017,8604,6161,0,9671,1015,8656,41902,41662,10.07,0,24905,2868,22036,14872,16896,0,2979,13222,12943,0,12150,1853,10297,4864,5275,0,105
1/1/2019 1:00,2019-01-01T02:00:00+0100,,,40100,40188,47480,0,0,48974,25208,0.5147,5051,2460,0.487,43923,22748,0.5179,8205,6035,0,9966,660,9307,40291,40553,-4.08,0,25208,2460,22748,14823,16632,0,3123,12464,12611,0,12015,1800,10214,4607,4910,0,103
1/1/2019 2:00,2019-01-01T03:00:00+0100,,,38883,39909,47480,0,0,48974,26568,0.5425,5051,2698,0.5341,43923,23870,0.5435,7609,6057,0,10316,615,9701,39274,40261,-9.91,0,26568,2698,23870,14640,16552,0,3524,12108,12521,0,12578,2082,10496,4526,4778,0,149
1/1/2019 3:00,2019-01-01T04:00:00+0100,,,38806,40258,47480,0,0,48974,28500,0.5819,5051,2578,0.5105,43923,25922,0.5902,7564,6120,0,10910,494,10416,39191,40603,-7.41,0,28500,2578,25922,14678,16667,0,4096,11963,12677,0,13298,2084,11214,4601,4794,0,196
1/1/2019 4:00,2019-01-01T05:00:00+0100,,,38593,40549,47480,0,0,48974,29808,0.6086,5051,2379,0.471,43923,27429,0.6244,7447,6154,0,11635,334,11301,38985,40904,-12.55,0,29808,2379,27429,14403,16462,0,4392,12215,13159,0,13503,2045,11458,4528,4774,0,278
1/1/2019 5:00,2019-01-01T06:00:00+0100,,,38140,40440,47480,0,0,48974,31016,0.6333,5051,1930,0.3821,43923,29086,0.6622,7366,6211,0,12511,339,12172,38447,40784,-17.25,0,31016,1930,29086,14060,15919,0,4784,12262,13632,0,13340,1591,11749,4451,4679,0,382
1/1/2019 6:00,2019-01-01T07:00:00+0100,,,38742,42743,47480,0,0,48974,31950,0.6524,5051,2045,0.4048,43923,29905,0.6808,7570,7208,0,12870,392,12478,39109,43088,-15.07,0,31950,2045,29905,14108,16377,0,4958,12570,14261,0,13704,1653,12051,4494,4897,0,418
1/1/2019 7:00,2019-01-01T08:00:00+0100,,,39256,45861,47480,84,0.0018,48974,32647,0.6666,5051,2208,0.4371,43923,30440,0.693,7630,8334,14,13313,561,12752,39604,46220,-4.93,84,32647,2208,30440,14315,17442,15,5197,12908,14911,38,13639,1647,11992,4402,5174,16,498
1/1/2019 8:00,2019-01-01T09:00:00+0100,,,42018,48792,47480,583,0.0123,48974,32275,0.659,5051,2075,0.4108,43923,30200,0.6876,8340,8734,140,13704,611,13093,42398,49144,-6.33,583,32275,2075,30200,15491,18479,103,5080,13495,15834,228,12880,1464,11416,4692,5746,111,611
1/1/2019 9:00,2019-01-01T10:00:00+0100,,,44533,50846,47480,1369,0.0288,48974,33466,0.6834,5051,2155,0.4267,43923,31311,0.7129,8701,9059,346,13677,595,13082,44918,51207,-4.93,1369,33466,2155,31311,16600,19299,250,5314,14409,16485,562,13647,1560,12087,4822,6003,210,828
